year,plot,treatment,aphful,aphpic,aphrud,camnov,campen,forase,forneo,forrub,forsubi,forsub,lasali,lasumb,mryame,myrpun,steimp
2006,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2006,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,3,2,0,0,2,0,0,1,0,0,0,0,0,0,0,4,1
2006,4,2,0,0,4,0,0,0,0,0,0,1,0,0,0,1,1
2006,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0
2006,6,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2006,7,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2006,8,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
2006,9,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2006,10,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
2006,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,12,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1
2006,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2006,15,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2006,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2006,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2006,21,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2006,22,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
2006,23,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2006,24,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2007,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2007,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2007,8,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2007,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,10,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2007,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,15,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2007,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
2008,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2008,3,2,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0
