date,year,month,day,plot,trt,rep,hor,netno3,netnh4,daysincu
3/28/2008,2008,3,28,21,N,3,organic,0,-54.45,25
3/28/2008,2008,3,28,12,C,2,mineral,0,-48.83,25
5/16/2007,2007,5,16,16,N,2,organic,0,-46.29,27
1/28/2009,2009,1,28,16,N,2,organic,-3.85,-29.2,26
3/28/2008,2008,3,28,20,C,6,organic,0,-25.83,25
2/28/2008,2008,2,28,17,HN,4,organic,0,-21.65,29
1/28/2009,2009,1,28,2,H,3,organic,-2.59,-20.31,26
5/16/2007,2007,5,16,11,N,4,organic,0,-19.2,27
5/16/2007,2007,5,16,23,N,6,organic,0,-17.43,27
2/28/2008,2008,2,28,11,N,4,organic,3.82,-16.58,29
5/16/2007,2007,5,16,6,N,1,organic,0,-15.96,27
1/28/2009,2009,1,28,20,C,6,mineral,-2.74,-14.88,26
5/16/2007,2007,5,16,1,C,4,organic,0,-14.21,27
5/16/2007,2007,5,16,21,N,3,organic,0,-14.01,27
1/28/2009,2009,1,28,17,HN,4,organic,-1.96,-12.26,26
1/28/2009,2009,1,28,7,HN,5,mineral,-1.06,-12.02,26
1/16/2008,2008,1,16,22,H,6,organic,0,-11.87,43
4/27/2009,2009,4,27,12,C,2,organic,0,-11.48,23
1/28/2009,2009,1,28,18,H,4,mineral,-0.99,-11.11,26
1/28/2009,2009,1,28,17,HN,4,mineral,-1.11,-10.72,26
1/28/2009,2009,1,28,11,N,4,mineral,-0.93,-10.15,26
3/28/2008,2008,3,28,22,H,6,organic,0,-9.92,25
1/28/2009,2009,1,28,19,C,5,organic,-3.08,-9.46,26
1/28/2009,2009,1,28,5,H,5,mineral,-0.93,-9.34,26
5/16/2007,2007,5,16,9,N,5,organic,0,-9.3,27
1/28/2009,2009,1,28,22,H,6,organic,0,-9.05,26
2/23/2009,2009,2,23,16,N,2,organic,0,-9.04,30
1/28/2009,2009,1,28,8,H,2,organic,-1.74,-9.03,26
2/28/2008,2008,2,28,24,C,1,organic,0,-9.02,29
2/28/2008,2008,2,28,9,N,5,organic,0,-8.4,29
2/28/2008,2008,2,28,18,H,4,organic,0,-8.19,29
1/28/2009,2009,1,28,6,N,1,organic,0,-8.12,26
1/28/2009,2009,1,28,4,HN,3,organic,-2.43,-7.2,26
5/16/2007,2007,5,16,8,H,2,organic,0,-7.07,27
6/12/2007,2007,6,12,11,N,4,organic,0,-6.97,29
1/28/2009,2009,1,28,18,H,4,organic,-1.92,-6.3,26
11/2/2007,2007,11,2,1,C,4,organic,-0.37,-6.26,40
1/28/2009,2009,1,28,1,C,4,mineral,-0.92,-6.21,26
1/28/2009,2009,1,28,21,N,3,mineral,-2.34,-6.04,26
2/28/2008,2008,2,28,5,H,5,organic,0,-5.99,29
2/28/2008,2008,2,28,3,HN,6,organic,0,-5.89,29
1/28/2009,2009,1,28,19,C,5,mineral,-0.98,-5.62,26
1/28/2009,2009,1,28,12,C,2,mineral,0,-5.32,26
2/28/2008,2008,2,28,20,C,6,mineral,0,-5.28,29
12/12/2007,2007,12,12,23,N,6,organic,0,-5.22,35
5/16/2007,2007,5,16,12,C,2,mineral,0,-5.15,27
1/28/2009,2009,1,28,12,C,2,organic,-2.52,-4.85,26
1/28/2009,2009,1,28,3,HN,6,organic,0,-4.84,26
2/28/2008,2008,2,28,1,C,4,organic,0,-4.7,29
2/28/2008,2008,2,28,20,C,6,organic,0,-4.65,29
2/28/2008,2008,2,28,3,HN,6,mineral,0,-4.61,29
1/28/2009,2009,1,28,16,N,2,mineral,0,-4.49,26
2/28/2008,2008,2,28,13,H,1,organic,0,-4.34,29
2/28/2008,2008,2,28,23,N,6,organic,0,-4.25,29
5/16/2007,2007,5,16,17,HN,4,organic,0,-4.24,27
1/28/2009,2009,1,28,14,C,3,organic,-2.39,-4.22,26
1/28/2009,2009,1,28,21,N,3,organic,-1.68,-3.93,26
1/28/2009,2009,1,28,15,HN,2,organic,-1.48,-3.88,26
1/28/2009,2009,1,28,15,HN,2,mineral,0,-3.79,26
2/28/2008,2008,2,28,19,C,5,mineral,0,-3.65,29
1/28/2009,2009,1,28,2,H,3,mineral,0,-3.59,26
1/28/2009,2009,1,28,20,C,6,organic,0,-3.53,26
12/12/2007,2007,12,12,16,N,2,organic,0,-3.48,35
2/28/2008,2008,2,28,8,H,2,organic,0,-3.4,29
1/28/2009,2009,1,28,13,H,1,organic,-1.55,-3.32,26
1/28/2009,2009,1,28,5,H,5,organic,-1.39,-3.31,26
1/28/2009,2009,1,28,14,C,3,mineral,0,-3.3,26
3/28/2008,2008,3,28,8,H,2,organic,0,-3.19,25
10/10/2007,2007,10,10,23,N,6,organic,0,-3.18,23
12/12/2007,2007,12,12,17,HN,4,mineral,0,-2.9,35
1/28/2009,2009,1,28,4,HN,3,mineral,0,-2.81,26
5/16/2007,2007,5,16,24,C,1,organic,0,-2.72,27
2/28/2008,2008,2,28,11,N,4,mineral,2.04,-2.57,29
2/23/2009,2009,2,23,17,HN,4,organic,0,-2.38,30
5/16/2007,2007,5,16,20,C,6,mineral,0,-2.3,27
1/28/2009,2009,1,28,6,N,1,mineral,0,-2.15,26
3/28/2008,2008,3,28,23,N,6,organic,0,-2.11,25
2/28/2008,2008,2,28,18,H,4,mineral,0,-2.02,29
2/23/2009,2009,2,23,21,N,3,organic,0,-1.96,30
2/28/2008,2008,2,28,22,H,6,mineral,0,-1.95,29
1/28/2009,2009,1,28,8,H,2,mineral,0,-1.89,26
2/28/2008,2008,2,28,22,H,6,mineral,0,-1.8,29
12/12/2007,2007,12,12,17,HN,4,organic,0,-1.76,35
1/28/2009,2009,1,28,3,HN,6,mineral,0.09,-1.75,26
9/25/2008,2008,9,25,12,C,2,mineral,0,-1.69,18
2/28/2008,2008,2,28,22,H,6,organic,0,-1.67,29
1/28/2009,2009,1,28,13,H,1,mineral,0,-1.52,26
2/28/2008,2008,2,28,21,N,3,mineral,0,-1.43,29
1/28/2009,2009,1,28,10,HN,1,mineral,0,-1.34,26
2/28/2008,2008,2,28,7,HN,5,organic,0,-1.33,29
12/12/2007,2007,12,12,11,N,4,mineral,0,-1.31,35
3/28/2008,2008,3,28,6,N,1,mineral,0,-1.28,25
3/28/2008,2008,3,28,5,H,5,organic,0,-1.23,25
11/2/2007,2007,11,2,24,C,1,mineral,1.34,-1.19,40
11/2/2007,2007,11,2,19,C,5,mineral,0.15,-1.17,40
2/28/2008,2008,2,28,8,H,2,mineral,0,-1.15,29
3/28/2008,2008,3,28,19,C,5,organic,0,-1.14,25
2/28/2008,2008,2,28,7,HN,5,mineral,0,-1.09,29
2/28/2008,2008,2,28,17,HN,4,mineral,0,-1.04,29
5/16/2007,2007,5,16,8,H,2,mineral,0,-1.03,27
5/16/2007,2007,5,16,18,H,4,mineral,9.3,-1.03,27
2/23/2009,2009,2,23,15,HN,2,organic,0,-1.01,30
2/23/2009,2009,2,23,10,HN,1,mineral,0,-0.99,30
3/28/2008,2008,3,28,6,N,1,organic,0,-0.82,25
2/28/2008,2008,2,28,4,HN,3,mineral,0,-0.81,29
3/28/2008,2008,3,28,3,HN,6,organic,0,-0.76,25
11/2/2007,2007,11,2,15,HN,2,organic,-0.95,-0.74,40
2/28/2008,2008,2,28,12,C,2,mineral,0,-0.6,29
1/28/2009,2009,1,28,7,HN,5,organic,-2.32,-0.45,26
2/28/2008,2008,2,28,1,C,4,mineral,0,-0.43,29
12/12/2007,2007,12,12,22,H,6,organic,0,-0.4,35
1/28/2009,2009,1,28,11,N,4,organic,-1.37,-0.39,26
12/12/2007,2007,12,12,9,N,5,mineral,0,-0.37,35
10/13/2008,2008,10,13,14,C,3,organic,0,-0.33,63
2/28/2008,2008,2,28,23,N,6,mineral,0,-0.23,29
2/28/2008,2008,2,28,20,C,6,mineral,0,-0.22,29
12/12/2007,2007,12,12,18,H,4,mineral,1.66,-0.2,35
12/12/2007,2007,12,12,14,C,3,organic,0,-0.18,35
11/2/2007,2007,11,2,19,C,5,organic,-0.69,-0.07,40
3/28/2008,2008,3,28,1,C,4,organic,0,-0.05,25
9/10/2007,2007,9,10,9,N,5,organic,0,-0.02,30
12/12/2007,2007,12,12,15,HN,2,mineral,0.97,-0.01,35
6/14/2006,2006,6,14,18,H,4,mineral,0,0,34
7/18/2006,2006,7,18,17,HN,4,organic,0,0,36
7/18/2006,2006,7,18,18,H,4,organic,0,0,36
8/23/2006,2006,8,23,7,HN,5,organic,0,0,42
8/23/2006,2006,8,23,12,C,2,organic,0,0,42
8/23/2006,2006,8,23,14,C,3,organic,0,0,42
8/23/2006,2006,8,23,20,C,6,mineral,0.79,0,42
8/23/2006,2006,8,23,20,C,6,organic,0,0,42
8/23/2006,2006,8,23,23,N,6,mineral,0,0,42
10/4/2006,2006,10,4,8,H,2,mineral,0,0,33
10/4/2006,2006,10,4,8,H,2,organic,0,0,33
10/4/2006,2006,10,4,12,C,2,mineral,0,0,33
10/4/2006,2006,10,4,14,C,3,mineral,0,0,33
10/4/2006,2006,10,4,14,C,3,organic,0,0,33
10/4/2006,2006,10,4,16,N,2,organic,0,0,33
10/4/2006,2006,10,4,20,C,6,mineral,0,0,33
10/4/2006,2006,10,4,23,N,6,organic,0,0,33
10/4/2006,2006,10,4,24,C,1,mineral,0,0,33
10/4/2006,2006,10,4,24,C,1,organic,0,0,33
3/28/2008,2008,3,28,8,H,2,mineral,0,0,25
3/28/2008,2008,3,28,20,C,6,mineral,0,0,25
10/13/2008,2008,10,13,12,C,2,mineral,0,0,63
2/23/2009,2009,2,23,2,H,3,mineral,0,0,30
2/23/2009,2009,2,23,4,HN,3,mineral,0,0,30
2/23/2009,2009,2,23,5,H,5,mineral,0,0,30
2/23/2009,2009,2,23,6,N,1,mineral,0,0,30
2/23/2009,2009,2,23,7,HN,5,mineral,0,0,30
2/23/2009,2009,2,23,8,H,2,mineral,0,0,30
2/23/2009,2009,2,23,8,H,2,organic,0,0,30
2/23/2009,2009,2,23,11,N,4,mineral,0,0,30
2/23/2009,2009,2,23,13,H,1,mineral,0,0,30
2/23/2009,2009,2,23,14,C,3,organic,0,0,30
2/23/2009,2009,2,23,16,N,2,mineral,0,0,30
2/23/2009,2009,2,23,17,HN,4,mineral,0,0,30
2/23/2009,2009,2,23,18,H,4,mineral,0,0,30
2/23/2009,2009,2,23,21,N,3,mineral,0,0,30
3/25/2009,2009,3,25,14,C,3,mineral,0,0,33
12/12/2007,2007,12,12,8,H,2,mineral,0,0.07,35
2/28/2008,2008,2,28,24,C,1,mineral,0,0.1,29
