year,plot,treatment,N_treat,heat_treat,acersp,acepen,acerub,aranud,aritri,betale,betlen,betspp,carpen,casden,clibor,coptri,craspp,denobs,denpun,dipcom,dryspp,faggra,gaupro,goopub,hupluc,lyolig,maican,medvir,mitrep,monuni,pinstr,pruser,quealb,querub,smirac,snag,tribor,tsucan,unkspp,uvuses,vaccspp,vibace,vibden,viblen
2006,1,1,control,control,0,2,3,14,0,0,1,0,2,0,0,0,0,0,0,0,0,1,117,0,0,0,170,3,50,0,0,0,0,1,0,0,14,0,0,27,56,0,0,0
2006,12,1,control,control,1,4,2,0,0,0,0,0,0,0,8,0,0,7,814,0,0,0,43,0,21,0,334,0,467,0,2,0,0,5,0,0,1,0,0,19,0,0,0,0
2006,14,1,control,control,0,13,6,16,0,1,0,0,2,0,0,0,0,50,9,0,0,0,124,0,0,0,3,1,142,4,1,3,0,0,0,0,11,0,0,35,48,0,5,57
2006,19,1,control,control,0,17,0,19,0,0,0,0,139,0,0,0,0,28,324,0,0,2,275,0,0,0,233,3,0,0,0,1,0,0,0,0,30,0,0,24,14,4,0,0
2006,20,1,control,control,0,8,1,9,0,0,0,0,1,0,0,0,0,127,2,16,0,0,95,0,152,0,27,1,0,0,0,2,0,1,0,0,36,0,1,24,145,3,0,5
2006,24,1,control,control,0,18,1,7,0,0,0,0,0,0,0,0,0,7,0,0,0,3,15,0,0,0,70,0,0,0,0,0,1,0,0,0,27,0,0,9,31,18,0,0
2007,1,1,control,control,0,3,5,11,0,1,0,1,32,0,0,0,0,0,3,0,0,1,87,0,0,0,117,0,44,0,0,2,0,1,0,0,5,0,0,31,47,0,0,0
2007,12,1,control,control,0,5,5,0,0,0,0,0,0,0,13,0,0,8,667,0,0,0,50,0,5,0,236,0,570,0,3,0,0,1,0,0,1,0,1,38,0,0,0,0
2007,14,1,control,control,0,13,7,15,0,2,0,0,1,0,0,0,0,0,11,26,0,0,80,0,0,0,0,5,185,1,1,6,0,0,2,0,9,0,0,35,46,0,3,55
2007,19,1,control,control,0,12,2,28,0,0,0,0,65,0,0,0,0,31,275,0,0,2,269,0,0,0,147,22,0,0,0,2,0,1,1,0,22,0,0,32,13,4,0,0
2007,20,1,control,control,0,7,21,7,0,0,0,0,0,0,0,0,0,95,2,6,0,0,68,0,130,0,15,0,0,0,0,4,0,1,0,0,46,0,0,19,126,0,0,10
2007,24,1,control,control,0,12,0,5,0,0,0,0,0,0,0,0,0,7,3,0,0,2,16,0,0,0,33,0,0,0,0,0,0,1,0,0,8,0,0,7,25,24,0,0
2008,1,1,control,control,3,2,0,9,0,0,1,0,20,0,0,0,0,0,2,0,0,2,61,0,0,0,35,1,32,0,0,0,0,3,0,0,7,0,0,26,28,0,0,0
2008,12,1,control,control,5,0,0,0,0,0,0,0,0,0,14,0,0,5,427,3,0,0,36,0,0,0,160,1,281,2,0,0,0,4,0,0,0,0,0,20,0,0,0,0
2008,14,1,control,control,6,7,2,9,0,0,1,0,2,0,0,0,0,0,8,4,0,0,44,0,0,0,0,7,112,0,1,2,0,0,0,1,8,0,0,35,36,0,3,65
2008,19,1,control,control,0,9,5,25,0,0,0,0,71,0,0,0,0,20,243,0,0,1,256,0,0,0,159,20,0,0,0,5,0,2,0,0,11,0,0,10,23,4,0,0
2008,20,1,control,control,0,8,4,9,0,0,0,0,1,0,0,0,0,66,1,7,0,1,68,0,55,0,7,2,0,4,0,4,0,1,0,0,38,0,0,20,98,0,0,9
2008,24,1,control,control,0,11,5,8,0,0,0,0,0,0,0,0,0,10,0,0,0,2,10,0,0,0,14,0,0,0,0,0,0,1,0,1,10,0,0,4,17,10,0,0
2009,1,1,control,control,0,2,4,9,0,0,1,0,18,0,0,0,0,0,1,0,0,0,54,0,0,0,117,1,53,0,0,0,0,3,0,0,11,0,0,17,20,0,0,1
2009,12,1,control,control,0,0,4,0,0,0,0,0,0,0,18,0,0,3,432,0,0,0,44,0,6,0,428,0,267,0,1,0,0,5,0,0,0,0,0,21,0,0,0,0
2009,14,1,control,control,0,6,6,9,0,0,1,0,0,0,0,0,0,0,5,1,0,0,52,0,0,0,1,7,99,0,1,7,0,0,1,1,13,0,1,39,41,0,4,57
2009,19,1,control,control,0,8,3,27,0,0,0,0,108,1,0,0,0,9,210,0,0,5,166,0,0,0,243,15,0,0,0,1,0,0,0,0,31,0,0,21,16,2,0,0
2009,20,1,control,control,0,8,5,15,0,0,0,0,0,5,0,0,0,43,1,4,0,0,52,0,43,0,11,1,0,0,0,5,0,1,0,0,55,0,0,23,85,3,1,8
